example,tipo,descricao
example1,Sintatico,Falta ponto e virgula no return
example2,Sintatico,Falta chave de fechamento
example3,Sintatico,Operador invalido ** (nao existe em Java)
example4,Sintatico,Atribuicao (=) em vez de comparacao (==) em return boolean
example5,Sintatico,Falta parentese de fechamento
example6,Sintatico,Virgula em vez de ponto e virgula
example7,Sintatico,Dois pontos e virgulas consecutivos
example8,Sintatico,Falta tipo de retorno no metodo
example9,Sintatico,Ponto em vez de virgula nos parametros
example10,Sintatico,Falta palavra-chave return
example11,Sintatico,Atribuicao (=) em vez de comparacao (==) em if
example12,Sintatico,Operador invalido === (JavaScript, nao Java)
example13,Sintatico,Falta chave de abertura
example14,Sintatico,Parentese de abertura sem fechamento correto
example15,Sintatico,Operador invalido <> (SQL, nao Java)
example16,Sintatico,Falta operador entre variaveis
example17,Sintatico,Parentese de fechamento extra
example18,Sintatico,Colchete em vez de parentese nos parametros
example19,Sintatico,Ponto e virgula antes da chave de abertura
example20,Sintatico,Falta parentese de abertura no if
example21,Sintatico,For sem parentese de abertura
example22,Sintatico,For sem ponto e virgula entre inicializacao e condicao
example23,Sintatico,While sem parenteses na condicao
example24,Sintatico,Operador ternario sem dois pontos (:)
example25,Sintatico,Operador ternario sem interrogacao (?)
example26,Sintatico,Falta ponto e virgula antes do else
example27,Sintatico,Array com colchete de abertura faltando
example28,Sintatico,Metodo sem tipo de retorno
example29,Sintatico,Switch case sem dois pontos (:)
example30,Sintatico,Do-while sem palavra-chave while
